"date","weekday","hour","time_start","time_end","duration_minutes","temp","fall","wind","bad_weather_flag","basic","factor","tip","total","type","target","tar_sym","is_weekend"
2025-12-02,"Tuesday",9,09:04:00,09:46:00,42,1,0,1,FALSE,18.05,1.69,0,18.05,"breakfast","Stare Miasto","I",FALSE
2025-12-02,"Tuesday",9,09:46:00,10:19:00,33,1,0,1.8,FALSE,12.19,1.69,0,12.19,"breakfast","Podgórze","XIII",FALSE
2025-12-02,"Tuesday",10,10:20:00,11:04:00,44,1.5,0,0.9,FALSE,14.34,1.52,0,14.34,"coffee","Krowodrza","V",FALSE
2025-12-02,"Tuesday",11,11:50:00,12:17:00,27,2,0,1.7,FALSE,11.55,1.67,2.25,13.8,"vietnamese","Prądnik Biały","IV",FALSE
2025-12-02,"Tuesday",12,12:17:00,13:02:00,45,2.5,0,1.2,FALSE,17.53,1.97,0,17.53,"groceries","Bronowice","VI",FALSE
2025-12-02,"Tuesday",13,13:02:00,13:43:00,41,2.5,0,1.5,FALSE,17.63,2.2,0,17.63,"liquors","Zwierzyniec","VII",FALSE
2025-12-02,"Tuesday",17,17:06:00,17:52:00,46,2.5,0,0.6,FALSE,14.69,2.2,0,14.69,"pizza","Stare Miasto","I",FALSE
2025-12-02,"Tuesday",17,17:52:00,18:22:00,30,2,0,0.8,FALSE,18.8,2.2,0,18.8,"fast food","Grzegórzki","II",FALSE
2025-12-02,"Tuesday",18,18:43:00,19:39:00,56,1.6,0,0.9,FALSE,22.37,2.2,0,22.37,"burgers","Prądnik Czerwony","III",FALSE
2025-12-02,"Tuesday",18,18:56:00,19:45:00,49,1.6,0,0.8,FALSE,11.91,2.2,3.98,15.89,"tea","Prądnik Czerwony","III",FALSE
2025-12-04,"Thursday",9,09:01:00,09:31:00,30,0,0,1.2,FALSE,9.5,1.41,0,9.5,"groceries","Prądnik Czerwony","III",FALSE
2025-12-04,"Thursday",9,09:31:00,09:51:00,20,1,0,0.7,FALSE,8.84,1.41,0,8.84,"groceries","Prądnik Czerwony","III",FALSE
2025-12-04,"Thursday",9,09:51:00,10:09:00,18,1.8,0,0.8,FALSE,10.27,1.41,0,10.27,"fast food","Prądnik Czerwony","III",FALSE
2025-12-04,"Thursday",10,10:55:00,11:18:00,23,2.9,0,1.3,FALSE,10.14,1.41,0,10.14,"flowers","Prądnik Czerwony","III",FALSE
2025-12-04,"Thursday",11,11:27:00,11:57:00,30,4,0,1.4,FALSE,11.96,1.56,0,11.96,"italian","Prądnik Biały","IV",FALSE
2025-12-04,"Thursday",11,11:57:00,12:18:00,21,4.8,0,0.3,FALSE,8.44,1.56,0,8.44,"groceries","Prądnik Czerwony","III",FALSE
2025-12-04,"Thursday",12,12:19:00,13:01:00,42,4.9,0,0.4,FALSE,21.06,1.88,3.79,24.85,"kebab","Krowodrza","V",FALSE
2025-12-04,"Thursday",13,13:07:00,13:56:00,49,5.2,0,0.9,FALSE,20.16,2.03,0,20.16,"pizza","Stare Miasto","I",FALSE
2025-12-04,"Thursday",13,13:56:00,14:27:00,31,3.8,0,0.8,FALSE,19.13,2.03,0,19.13,"fast food","Krowodrza","V",FALSE
2025-12-04,"Thursday",17,17:00:00,17:30:00,30,1.6,0,0.5,FALSE,17.21,2.14,0,17.21,"pizza","Stare Miasto","I",FALSE
2025-12-04,"Thursday",17,17:30:00,18:06:00,36,1.3,0,0.3,FALSE,14.37,2.14,0,14.37,"deli","Krowodrza","V",FALSE
2025-12-04,"Thursday",18,18:06:00,18:31:00,25,1.5,0,0.4,FALSE,14.03,2.18,0,14.03,"fast food","Zwierzyniec","VII",FALSE
2025-12-04,"Thursday",18,18:32:00,19:11:00,39,1.6,0,1.2,FALSE,19.93,2.18,0,19.93,"groceries","Zwierzyniec","VII",FALSE
2025-12-05,"Friday",12,12:01:00,12:34:00,33,6.2,0.06,1.9,TRUE,16.55,1.99,0,16.55,"fast food","Stare Miasto","I",FALSE
2025-12-05,"Friday",12,12:35:00,13:09:00,34,6.3,0.06,1.6,TRUE,14.84,1.99,0,14.84,"groceries","Krowodrza","V",FALSE
2025-12-05,"Friday",13,13:58:00,14:22:00,24,6.6,0.06,1,TRUE,16.43,2.2,0,16.43,"bakery","Krowodrza","V",FALSE
2025-12-05,"Friday",14,14:22:00,14:48:00,26,6.7,0.06,0.3,TRUE,15.41,2.04,0,15.41,"japanese","Stare Miasto","I",FALSE
2025-12-05,"Friday",14,14:48:00,15:13:00,25,6.5,0.06,1.4,TRUE,14.71,2.04,0,14.71,"fast food","Stare Miasto","I",FALSE
2025-12-05,"Friday",15,15:13:00,15:39:00,26,6.5,0.06,0.8,TRUE,14.15,1.96,0,14.15,"ukrainian","Stare Miasto","I",FALSE
2025-12-05,"Friday",15,15:40:00,16:08:00,28,6.4,0.06,1.1,TRUE,12.61,1.96,0,12.61,"burgers","Stare Miasto","I",FALSE
2025-12-05,"Friday",18,18:01:00,18:28:00,27,5.9,0.08,0.4,TRUE,16.01,2.35,2.45,18.46,"japanese","Stare Miasto","I",FALSE
2025-12-05,"Friday",18,18:28:00,19:03:00,35,5.6,0,0.3,FALSE,19.02,2.35,0,19.02,"fast food","Grzegórzki","II",FALSE
2025-12-07,"Sunday",9,09:08:00,09:36:00,28,4.2,0,0.8,FALSE,12.17,1.53,0,12.17,"pharma","Stare Miasto","I",TRUE
2025-12-07,"Sunday",9,09:48:00,10:05:00,17,4.8,0,0.5,FALSE,9.34,1.53,0,9.34,"fast food","Stare Miasto","I",TRUE
2025-12-07,"Sunday",10,10:05:00,10:38:00,33,5.1,0,0.3,FALSE,13.65,1.48,0,13.65,"french","Prądnik Czerwony","III",TRUE
2025-12-07,"Sunday",10,10:44:00,10:58:00,14,5.4,0,0.9,FALSE,9.59,1.48,0,9.59,"fast food","Prądnik Czerwony","III",TRUE
2025-12-07,"Sunday",15,15:19:00,15:46:00,27,7.3,0.03,0.2,TRUE,18.77,2.2,0,18.77,"animal goods","Grzegórzki","II",TRUE
2025-12-07,"Sunday",15,15:55:00,16:12:00,17,7.4,0.03,0.1,TRUE,11.72,2.2,0,11.72,"burgers","Grzegórzki","II",TRUE
2025-12-07,"Sunday",16,16:13:00,16:44:00,31,7,0.03,0.4,TRUE,16.08,2.2,0,16.08,"fast food","Czyżyny","XIV",TRUE
2025-12-07,"Sunday",16,16:51:00,17:17:00,26,6.6,0.03,0.4,TRUE,13.95,2.2,0,13.95,"fast food","Czyżyny","XIV",TRUE
2025-12-07,"Sunday",17,17:23:00,17:42:00,19,6.4,0.03,0.1,TRUE,11.67,2.2,0,11.67,"groceries","Czyżyny","XIV",TRUE
2025-12-07,"Sunday",18,18:04:00,18:34:00,30,6.2,0.03,0.5,TRUE,18.4,2.2,0,18.4,"fast food","Stare Miasto","I",TRUE
2025-12-07,"Sunday",18,18:34:00,18:54:00,20,5.3,0.03,0.6,TRUE,9.65,2.2,0,9.65,"kebab","Stare Miasto","I",TRUE
2025-12-07,"Sunday",18,18:54:00,19:19:00,25,5,0.03,0.6,TRUE,16,2.2,0,16,"pizza","Krowodrza","V",TRUE
2025-12-08,"Monday",8,08:00:00,08:32:00,32,4.5,0,0.3,FALSE,13.96,1.53,0,13.96,"fast food","Stare Miasto","I",FALSE
2025-12-08,"Monday",8,08:32:00,08:46:00,14,5.3,0,0.3,FALSE,9.11,1.53,2.87,11.98,"fast food","Stare Miasto","I",FALSE
2025-12-08,"Monday",8,08:50:00,09:13:00,23,5.8,0,0.4,FALSE,9.21,1.53,1.17,10.38,"coffee","Stare Miasto","I",FALSE
2025-12-08,"Monday",9,09:15:00,09:37:00,22,5.8,0,0.5,FALSE,10.16,1.69,0,10.16,"coffee","Grzegórzki","II",FALSE
2025-12-08,"Monday",10,10:05:00,10:37:00,32,6.7,0,0.3,FALSE,14.84,1.67,0,14.84,"fast food","Prądnik Czerwony","III",FALSE
2025-12-08,"Monday",10,10:55:00,11:12:00,17,7.7,0,0.9,FALSE,8.81,1.67,0,8.81,"kebab","Prądnik Biały","IV",FALSE
2025-12-08,"Monday",15,15:12:00,15:39:00,27,9.2,0,0.5,FALSE,13.01,2,0,13.01,"fast food","Prądnik Biały","IV",FALSE
2025-12-08,"Monday",15,15:39:00,16:17:00,38,9.4,0,0.9,FALSE,16.48,2,0,16.48,"fast food","Prądnik Biały","IV",FALSE
2025-12-08,"Monday",16,16:18:00,16:41:00,23,9.3,0,2.5,FALSE,11.39,2.19,0,11.39,"liquors","Prądnik Biały","IV",FALSE
2025-12-08,"Monday",16,16:47:00,17:19:00,32,8.5,0,1.3,FALSE,26.77,2.19,0,26.77,"fast food","Prądnik Czerwony","III",FALSE
2025-12-08,"Monday",17,17:34:00,17:59:00,25,8,0,1,FALSE,11.31,2.2,0,11.31,"fast food","Grzegórzki","II",FALSE
2025-12-08,"Monday",20,20:00:00,20:33:00,33,6.6,0,0.6,FALSE,18.66,2.2,0,18.66,"fast food","Prądnik Biały","IV",FALSE
2025-12-08,"Monday",20,20:33:00,20:52:00,19,6.5,0,0.8,FALSE,11.79,2.13,2.1,13.89,"kebab","Prądnik Czerwony","III",FALSE
2025-12-08,"Monday",20,20:53:00,21:16:00,23,6.3,0,0.9,FALSE,14.83,2.13,0,14.83,"groceries","Bronowice","VI",FALSE
2025-12-10,"Wednesday",7,07:00:00,07:36:00,36,5.6,0,0.4,FALSE,12.74,2.13,0,12.74,"fast food","Krowodrza","V",FALSE
2025-12-10,"Wednesday",7,07:36:00,07:56:00,20,6.2,0,0.6,FALSE,9.81,1.41,0,9.81,"fast food","Stare Miasto","I",FALSE
2025-12-10,"Wednesday",7,07:56:00,08:15:00,19,6.2,0,0.7,FALSE,9.89,1.41,0,9.89,"coffee","Stare Miasto","I",FALSE
