date;time_start;time_end;temp;fall;wind;basic;factor;tip;total;type;target;tar_sym
2025-12-02;09:04;09:46;1;0;1;18.05;1.69;0;18.05;breakfast;Stare Miasto;I
2025-12-02;09:46;10:19;1;0;1.8;12.19;1.69;0;12.19;breakfast;Podgórze;XIII
2025-12-02;10:20;11:04;1.5;0;0.9;14.34;1.52;0;14.34;coffee;Krowodrza;V
2025-12-02;11:50;12:17;2;0;1.7;11.55;1.67;2.25;13.8;vietnamese;Prądnik Biały;IV
2025-12-02;12:17;13:02;2.5;0;1.2;17.53;1.97;0;17.53;groceries;Bronowice;VI
2025-12-02;13:02;13:43;2.5;0;1.5;17.63;2.2;0;17.63;liquors;Zwierzyniec;VII
2025-12-02;17:06;17:52;2.5;0;0.6;14.69;2.2;0;14.69;pizza;Stare Miasto;I
2025-12-02;17:52;18:22;2;0;0.8;18.8;2.2;0;18.8;fast food;Grzegórzki;II
2025-12-02;18:43;19:39;1.6;0;0.9;22.37;2.2;0;22.37;burgers;Prądnik Czerwony;III
2025-12-02;18:56;19:45;1.6;0;0.8;11.91;2.2;3.98;15.89;tea;Prądnik Czerwony;III
2025-12-04;09:01;09:31;0;0;1.2;9.5;1.41;0;9.5;groceries;Prądnik Czerwony;III
2025-12-04;09:31;09:51;1;0;0.7;8.84;1.41;0;8.84;groceries;Prądnik Czerwony;III
2025-12-04;09:51;10:09;1.8;0;0.8;10.27;1.41;0;10.27;fast food;Prądnik Czerwony;III
2025-12-04;10:55;11:18;2.9;0;1.3;10.14;1.41;0;10.14;flowers;Prądnik Czerwony;III
2025-12-04;11:27;11:57;4;0;1.4;11.96;1.56;0;11.96;italian;Prądnik Biały;IV
2025-12-04;11:57;12:18;4.8;0;0.3;8.44;1.56;0;8.44;groceries;Prądnik Czerwony;III
2025-12-04;12:19;13:01;4.9;0;0.4;21.06;1.88;3.79;24.85;kebab;Krowodrza;V
2025-12-04;13:07;13:56;5.2;0;0.9;20.16;2.03;0;20.16;pizza;Stare Miasto;I
2025-12-04;13:56;14:27;3.8;0;0.8;19.13;2.03;0;19.13;fast food;Krowodrza;V
2025-12-04;17:00;17:30;1.6;0;0.5;17.21;2.14;0;17.21;pizza;Stare Miasto;I
2025-12-04;17:30;18:06;1.3;0;0.3;14.37;2.14;0;14.37;deli;Krowodrza;V
2025-12-04;18:06;18:31;1.5;0;0.4;14.03;2.18;0;14.03;fast food;Zwierzyniec;VII
2025-12-04;18:32;19:11;1.6;0;1.2;19.93;2.18;0;19.93;groceries;Zwierzyniec;VII
2025-12-05;12:01;12:34;6.2;0.06;1.9;16.55;1.99;0;16.55;fast food;Stare Miasto;I
2025-12-05;12:35;13:09;6.3;0.06;1.6;14.84;1.99;0;14.84;groceries;Krowodrza;V
2025-12-05;13:58;14:22;6.6;0.06;1;16.43;2.2;0;16.43;bakery;Krowodrza;V
2025-12-05;14:22;14:48;6.7;0.06;0.3;15.41;2.04;0;15.41;japanese;Stare Miasto;I
2025-12-05;14:48;15:13;6.5;0.06;1.4;14.71;2.04;0;14.71;fast food;Stare Miasto;I
2025-12-05;15:13;15:39;6.5;0.06;0.8;14.15;1.96;0;14.15;ukrainian;Stare Miasto;I
2025-12-05;15:40;16:08;6.4;0.06;1.1;12.61;1.96;0;12.61;burgers;Stare Miasto;I
2025-12-05;18:01;18:28;5.9;0.08;0.4;16.01;2.35;2.45;18.46;japanese;Stare Miasto;I
2025-12-05;18:28;19:03;5.6;0;0.3;19.02;2.35;0;19.02;fast food;Grzegórzki;II
2025-12-07;09:08;09:36;4.2;0;0.8;12.17;1.53;0;12.17;pharma;Stare Miasto;I
2025-12-07;09:48;10:05;4.8;0;0.5;9.34;1.53;0;9.34;fast food;Stare Miasto;I
2025-12-07;10:05;10:38;5.1;0;0.3;13.65;1.48;0;13.65;french;Prądnik Czerwony;III
2025-12-07;10:44;10:58;5.4;0;0.9;9.59;1.48;0;9.59;fast food;Prądnik Czerwony;III
2025-12-07;15:19;15:46;7.3;0.03;0.2;18.77;2.2;0;18.77;animal goods;Grzegórzki;II
2025-12-07;15:55;16:12;7.4;0.03;0.1;11.72;2.2;0;11.72;burgers;Grzegórzki;II
2025-12-07;16:13;16:44;7;0.03;0.4;16.08;2.2;0;16.08;fast food;Czyżyny;XIV
2025-12-07;16:51;17:17;6.6;0.03;0.4;13.95;2.2;0;13.95;fast food;Czyżyny;XIV
2025-12-07;17:23;17:42;6.4;0.03;0.1;11.67;2.2;0;11.67;groceries;Czyżyny;XIV
2025-12-07;18:04;18:34;6.2;0.03;0.5;18.4;2.2;0;18.4;fast food;Stare Miasto;I
2025-12-07;18:34;18:54;5.3;0.03;0.6;9.65;2.2;0;9.65;kebab;Stare Miasto;I
2025-12-07;18:54;19:19;5;0.03;0.6;16;2.2;0;16;pizza;Krowodrza;V
2025-12-08;08:00;08:32;4.5;0;0.3;13.96;1.53;0;13.96;fast food;Stare Miasto;I
2025-12-08;08:32;08:46;5.3;0;0.3;9.11;1.53;2.87;11.98;fast food;Stare Miasto;I
2025-12-08;08:50;09:13;5.8;0;0.4;9.21;1.53;1.17;10.38;coffee;Stare Miasto;I
2025-12-08;09:15;09:37;5.8;0;0.5;10.16;1.69;0;10.16;coffee;Grzegórzki;II
2025-12-08;10:05;10:37;6.7;0;0.3;14.84;1.67;0;14.84;fast food;Prądnik Czerwony;III
2025-12-08;10:55;11:12;7.7;0;0.9;8.81;1.67;0;8.81;kebab;Prądnik Biały;IV
2025-12-08;15:12;15:39;9.2;0;0.5;13.01;2;0;13.01;fast food;Prądnik Biały;IV
2025-12-08;15:39;16:17;9.4;0;0.9;16.48;2;0;16.48;fast food;Prądnik Biały;IV
2025-12-08;16:18;16:41;9.3;0;2.5;11.39;2.19;0;11.39;liquors;Prądnik Biały;IV
2025-12-08;16:47;17:19;8.5;0;1.3;26.77;2.19;0;26.77;fast food;Prądnik Czerwony;III
2025-12-08;17:34;17:59;8;0;1;11.31;2.2;0;11.31;fast food;Grzegórzki;II
2025-12-08;20:00;20:33;6.6;0;0.6;18.66;2.2;0;18.66;fast food;Prądnik Biały;IV
2025-12-08;20:33;20:52;6.5;0;0.8;11.79;2.13;2.1;13.89;kebab;Prądnik Czerwony;III
2025-12-08;20:53;21:16;6.3;0;0.9;14.83;2.13;0;14.83;groceries;Bronowice;VI
2025-12-10;07:00;07:36;5.6;0;0.4;12.74;2.13;0;12.74;fast food;Krowodrza;V
2025-12-10;07:36;07:56;6.2;0;0.6;9.81;1.41;0;9.81;fast food;Stare Miasto;I
2025-12-10;07:56;08:15;6.2;0;0.7;9.89;1.41;0;9.89;coffee;Stare Miasto;I
2025-12-10;08:15;08:43;7;0;0.6;9.82;1.41;1.73;11.55;coffee;Krowodrza;V
2025-12-10;08:34;09:05;7.9;0;0.2;14.74;1.53;0;14.74;breakfast;Stare Miasto;I
2025-12-10;09:05;09:26;8.6;0;0.6;9.6;1.41;0;9.6;breakfast;Dębniki;VIII
2025-12-10;09:27;09:47;9.3;0;1;11.06;1.41;0;11.06;breakfast;Dębniki;VIII
2025-12-10;09:47;10:13;9.7;0;1.3;9.68;1.41;0;9.68;breakfast;Stare Miasto;I
2025-12-10;15:41;16:04;10.5;0;0.9;11.38;1.95;0;11.38;french;Dębniki;VIII
2025-12-10;15:48;16:36;10.1;0;0.6;17.98;1.95;0;17.98;japanese;Stare Miasto;I
2025-12-10;16:43;17:05;8.5;0;0.4;14.09;1.98;0;14.09;fast food;Prądnik Czerwony;III
2025-12-10;17:05;17:23;8.2;0;0.2;13.33;2.03;0;13.33;fast food;Prądnik Czerwony;III
2025-12-10;17:23;17:45;8;0;0.5;13.36;2.03;0;13.36;fast food;Czyżyny;XIV
2025-12-10;17:49;18:06;7.3;0;0.5;11.28;2.03;0;11.28;kebab;Czyżyny;XIV
2025-12-11;08:01;08:35;6.7;0.06;0.5;11.02;1.56;0;11.02;fast food;Mistrzejowice;XV
2025-12-11;08:40;09:05;6.9;0.06;1.4;11.72;1.56;0;11.72;groceries;Mistrzejowice;XV
2025-12-11;09:06;09:32;7.1;0.06;1.7;11.58;1.56;0;11.58;groceries;Mistrzejowice;XV
2025-12-11;09:32;09:55;7.3;0.06;2.8;9.18;1.56;0;9.18;liquors;Mistrzejowice;XV
2025-12-11;09:55;10:18;7.5;0.06;1.9;10.94;1.56;0;10.94;groceries;Czyżyny;XIV
2025-12-11;10:19;10:40;7.5;0.06;1.9;7.84;1.56;8;15.84;pick-up;Czyżyny;XIV
2025-12-11;10:40;11:28;7.7;0.06;1.9;17.13;1.56;0;17.13;groceries;Prądnik Czerwony;III
2025-12-11;15:00;15:24;7.9;0.06;2;11.09;2;0;11.09;pizza;Grzegórzki;II
2025-12-11;15:24;15:52;7.8;0.06;2.7;13.25;2;2.69;15.94;fast food;Prądnik Czerwony;III
2025-12-11;15:52;16:31;7.6;0.06;2.2;17.42;2;0;17.42;kebab;Grzegórzki;II
2025-12-11;16:31;16:44;7.2;0.06;1.7;9.89;2.02;0;9.89;groceries;Czyżyny;XIV
2025-12-11;16:44;16:58;7.2;0.06;1.3;9.36;2.02;0;9.36;groceries;Czyżyny;XIV
2025-12-11;16:58;17:21;7.2;0.06;1;11.15;2.02;0;11.15;groceries;Grzegórzki;II
2025-12-11;16:58;17:31;7.2;0.06;1;11.16;2.02;0;11.16;groceries;Prądnik Czerwony;III
2025-12-11;17:31;17:57;6.9;0.06;0.2;12.97;2.14;0;12.97;fast food;Prądnik Czerwony;III
2025-12-12;07:00;07:49;5.2;0;0.9;13.09;1.41;0;13.09;coffee;Stare Miasto;I
2025-12-12;07:49;08:12;6.3;0;2.2;9.76;1.41;0;9.76;fast food;Stare Miasto;I
2025-12-12;08:12;08:45;6.4;0;1.7;15.27;1.43;0;15.27;fast food;Prądnik Biały;IV
2025-12-12;08:45;09:09;6.8;0;3.7;11.98;1.43;0;11.98;liquors;Stare Miasto;I
2025-12-12;09:09;09:58;7.2;0;2.7;12.37;1.42;0;12.37;salads;Prądnik Biały;IV
2025-12-12;16:00;16:43;5.1;0;1.6;18.13;2;0;18.13;pizza;Stare Miasto;I
2025-12-12;16:56;17:36;5;0;2.1;12.57;2;0;12.57;fast food;Prądnik Czerwony;III
2025-12-12;16:43;17:21;5;0;1.5;12.58;2;0;12.58;fast food;Grzegórzki;II
2025-12-12;17:37;18:06;5.1;0;1.8;18.85;2.18;0;18.85;chinese;Krowodrza;V
2025-12-12;18:06;18:30;4.7;0;1;13.15;2.2;2.55;15.7;japanese;Prądnik Biały;IV
2025-12-12;18:30;18:58;4.4;0;1.4;14.41;2.2;0;14.41;kebab;Prądnik Czerwony;III
2025-12-13;08:12;08:50;1;0;0.4;13.03;1.41;0;13.03;fast food;Stare Miasto;I
